rank_emul	rank_star	rank_real	rank_outdeg	rank_tweet	pagerank	pagerank(filter)	sumM_neigh	rank_out_real	rank_in_real
17395	11721	33631	26101	35125	31978	31535	24107	32327	2062
17396	13260	3857	11327	6011	1893	1973	10969	2762	444
17397	6832	34272	29744	29318	36474	35837	32224	30648	39612
17398	18868	44269	26642	18766	44353	44676	24247	44358	31658
17399	23348	24494	19502	29013	30191	29643	20552	18682	40112
17400	18064	16015	27661	15166	27914	28997	33453	21075	20116
17401	13606	8721	9378	9339	5586	5516	8735	8696	14384
17402	16623	30038	29442	9428	39208	39497	39284	38923	4007
17403	15174	8662	12457	5146	16560	19586	13018	12627	40260
17404	20059	34110	19939	32892	29235	28337	20566	35033	33663
17405	24959	19341	19023	22914	9675	9337	23113	27960	19221
17406	6854	20258	36157	44102	9579	9641	44002	14558	37809
17407	31159	44550	34102	32284	44615	44430	40053	44338	39383
17408	17439	39314	29281	25005	40025	40094	36316	38222	14889
17409	20334	44709	16753	25517	44258	44312	15400	44675	38250
17410	10318	10393	25305	19356	3590	3738	27936	8675	15406
17411	15816	13392	17449	18058	14655	13736	15670	20692	13676
17412	8913	13144	22437	18096	9214	9788	20799	13274	5149
17413	17906	27416	25594	24951	18357	18056	26263	29422	23171
17414	30864	37787	29466	26634	30282	30102	36196	36066	13749
17415	24221	9423	23372	21787	6072	7216	26024	5505	33287
17416	20487	38779	15071	24745	35324	35507	13855	35718	22172
17417	8565	25193	23870	36671	28249	28422	21105	20835	11748
17418	17188	23255	13304	11143	35000	35340	13207	31382	32100
17419	9359	25792	28367	42267	19880	19196	27665	25163	10082
17420	16959	5947	17647	8054	12933	13094	17331	6802	44861
17421	25206	7790	19021	22850	2158	2532	20969	3448	16879
17422	16787	30793	16067	41729	22681	22822	18073	30721	20571
17423	11336	20545	23925	37951	12863	12915	25889	16870	3990
17424	18802	11378	18245	11155	11765	11556	16853	11026	17031
17425	15000	13915	16751	13178	12758	12706	17769	16014	26718
17426	16514	8695	20481	35298	2621	2527	21156	9984	18722
17427	19679	4477	16949	11757	1350	1286	16917	2332	20879
17428	13289	13077	15517	18098	14782	14155	15231	13001	14303
17429	13793	22541	27077	25199	13463	13484	37915	23305	10453
17430	18838	39795	17561	28597	42404	42435	16301	40008	30303
17431	20466	11616	15075	26450	6681	8812	15731	8979	22327
17432	13697	17830	21504	15184	21878	20680	22348	16205	26464
17433	16267	26544	23379	22062	33517	33312	23929	24224	33199
